Date & Time,SKU,Name,Brand,Average Rating,Rating Count,Sponsered,Price,Sales Price,Express,Rank,Link
2024-11-17 03:11:02,Z131EFE3A0A418553788CZ,Spall Yoga Mats Anti-slip Sport Fitness Mat Blanket For Exercise Yoga And Pilates Gymnastics Mat Fitness Equipment 6mm ,Spall,,,N,44.40,50,Y,65,https://www.noon.com/uae-en/yoga-mats-anti-slip-sport-fitness-mat-blanket-for-exercise-yoga-and-pilates-gymnastics-mat-fitness-equipment-6mm/Z131EFE3A0A418553788CZ/p/?o=z131efe3a0a418553788cz-1
2024-11-17 03:10:59,Z3CB10B40E42D51C8C36CZ,Longchamp Longchamp Le Pliage Original Large Burgundy Tote Bag for Women L1899089P87 ,Longchamp,,,N,158.90,Not Available,Y,42,https://www.noon.com/uae-en/longchamp-le-pliage-original-large-burgundy-tote-bag-for-women-l1899089p87/Z3CB10B40E42D51C8C36CZ/p/?o=z3cb10b40e42d51c8c36cz-1
2024-11-17 03:11:02,Z7FEDE1D769E4F8A1187BZ,"RIOXS Thick Yoga Mat with Carrier Strap, Non-Slip High-density Exercise Mat, Pilates Fitness Mat, Non-toxic Odorless Mat, Easy to Store and Clean, 183*61*0.6cm ",RIOXS,,,N,52.70,110,Y,64,https://www.noon.com/uae-en/thick-yoga-mat-with-carrier-strap-non-slip-high-density-exercise-mat-pilates-fitness-mat-non-toxic-odorless-mat-easy-to-store-and-clean-183-61-0-6cm/Z7FEDE1D769E4F8A1187BZ/p/?o=z7fede1d769e4f8a1187bz-1
2024-11-17 03:11:02,ZA8CFB015E5F84F474656Z,"GROIC Back Stretcher and Neck Stretcher for Pain Relief, Multi-Level Magnetic Therapy Back Cracker Device Back Arch Stretcher, Ergonomic Neck Cervical Traction Device Chiropractic Pillow ",GROIC,,,N,68.55,200,Y,62,https://www.noon.com/uae-en/back-stretcher-and-neck-stretcher-for-pain-relief-multi-level-magnetic-therapy-back-cracker-device-back-arch-stretcher-ergonomic-neck-cervical-traction-device-chiropractic-pillow/ZA8CFB015E5F84F474656Z/p/?o=za8cfb015e5f84f474656z-1
2024-11-17 03:11:02,N43250383A,Rock Pow Acupressure Spike Mat 66 x 42cm ,Rock Pow,4.0,1,N,48.60,119,Y,63,https://www.noon.com/uae-en/acupressure-spike-mat-66-x-42cm/N43250383A/p/?o=d77d0cdeba3f09dd
2024-11-17 03:11:02,Z40452B9643F74713516FZ,"GROIC Yoga Mat, Extra Wide 72.8""x 31.5"" x 0.24"" Pilates Fitness Mats with Alignment Marks, Non Slip Fitness Yoga Mats, Exercise Mats for Yoga Pilates Home Floor Workout with Carrying Sling and Storage Bag ",GROIC,,,N,118.50,250,Y,61,https://www.noon.com/uae-en/yoga-mat-extra-wide-72-8-x-31-5-x-0-24-pilates-fitness-mats-with-alignment-marks-non-slip-fitness-yoga-mats-exercise-mats-for-yoga-pilates-home-floor-workout-with-carrying-sling-and-storage-bag/Z40452B9643F74713516FZ/p/?o=z40452b9643f74713516fz-1
2024-11-17 03:11:02,ZFFE77555554D946085DFZ,"GROIC Squat Wedge Block Non Slip Professional Slant Board,Squat Ramp Foot Wedges for Squats Yoga Wedge Great for Exercise,Stretching Equipment ",GROIC,5.0,1,N,84,400,Y,59,https://www.noon.com/uae-en/squat-wedge-block-non-slip-professional-slant-board-squat-ramp-foot-wedges-for-squats-yoga-wedge-great-for-exercise-stretching-equipment/ZFFE77555554D946085DFZ/p/?o=zffe77555554d946085dfz-1
2024-11-17 03:11:02,Z5364B7401B46DD83668DZ,Prickly Pear Prickly Pear Daydream Non-Slip Suede Top 1mm Travel Yoga Mat - Portable Yoga Mat for Travel ,Prickly Pear,5.0,1,N,128,240,Y,57,https://www.noon.com/uae-en/prickly-pear-daydream-non-slip-suede-top-1mm-travel-yoga-mat-portable-yoga-mat-for-travel/Z5364B7401B46DD83668DZ/p/?o=z5364b7401b46dd83668dz-1
2024-11-17 03:11:02,Z4EAB1F3B4BA3811C89EBZ,"GROIC 12 Pack Puzzle Exercise Floor Mat, EVA Foam Mats with Interlocking Floor Tiles, 12'' x 12'' Foam Gym Mat, Protective Flooring Mats Interlocking for Home and Gym Equipment (Navy Blue) ",GROIC,5.0,1,N,69.35,200,Y,58,https://www.noon.com/uae-en/12-pack-puzzle-exercise-floor-mat-eva-foam-mats-with-interlocking-floor-tiles-12-x-12-foam-gym-mat-protective-flooring-mats-interlocking-for-home-and-gym-equipment-navy-blue/Z4EAB1F3B4BA3811C89EBZ/p/?o=z4eab1f3b4ba3811c89ebz-1
2024-11-17 03:11:02,Z2B5045D950DFD7AE4E59Z,"RIGID FITNESS 6mm Anti-Slip TPE Yoga Mat with Strap, Bag - Knee Support, Non-Slip, Lightweight for Yoga, Pilates, Fitness, Home Workouts 183*66 cm (Pink/Black) ",RIGID FITNESS,4.6,23,N,79.75,89.95,Y,60,https://www.noon.com/uae-en/6mm-anti-slip-tpe-yoga-mat-with-strap-bag-knee-support-non-slip-lightweight-for-yoga-pilates-fitness-home-workouts-183-66-cm-pink-black/Z2B5045D950DFD7AE4E59Z/p/?o=z2b5045d950dfd7ae4e59z-1
2024-11-17 03:11:02,Z6D2C5322FF21EAB9342EZ,"GROIC Men's Waist Trainer Sauna Vest Weight Loss Body Shaper Sweat Vest for Men with Double Belt and Zipper, Corset Plus Size L ",GROIC,2.1,10,N,55.30,200,N,55,https://www.noon.com/uae-en/men-s-waist-trainer-sauna-vest-weight-loss-body-shaper-sweat-vest-for-men-with-double-belt-and-zipper-corset-plus-size-l/Z6D2C5322FF21EAB9342EZ/p/?o=fc45678dbcb29c0a
2024-11-17 03:11:02,N49668789A,Fitness World 5-Piece Elastic Resistance Band Set ,Fitness World,4.4,35,N,38.05,Not Available,N,54,https://www.noon.com/uae-en/5-piece-elastic-resistance-band-set/N49668789A/p/?o=ae37d04eabc42efd
2024-11-17 03:11:02,Z719A382A1CA26C55AB50Z,ALSAQER Alsaqer Traditional Arabic Outdoor Carpet | Arabic Sadu Mat Foldable (1.8x2.5 Mtr) Majlis Mat|Majlis Carpet | Outdoor Camping Mat|Camping Carpet|Majlis Mat|Sadu Carpet|Picnic Mat Multicolour ,ALSAQER,,,N,49.95,59.95,Y,52,https://www.noon.com/uae-en/alsaqer-traditional-arabic-outdoor-carpet-arabic-sadu-mat-foldable-1-8x2-5-mtr-majlis-mat-majlis-carpet-outdoor-camping-mat-camping-carpet-majlis-mat-sadu-carpet-picnic-mat-multicolour/Z719A382A1CA26C55AB50Z/p/?o=z719a382a1ca26c55ab50z-1
2024-11-17 03:11:02,Z762F9F2D1E0C15CCDC7FZ,Adidas Fitness Mat - 7Mm - Grey ,Adidas,,,N,107.05,115,Y,48,https://www.noon.com/uae-en/fitness-mat-7mm-grey/Z762F9F2D1E0C15CCDC7FZ/p/?o=z762f9f2d1e0c15ccdc7fz-1
2024-11-17 03:11:02,Z3ECE31D6665E7DFAC159Z,"RIGID FITNESS Thick Yoga Mat 8mm - Knees Supportive Exercise Mat - for Yoga, Pilates, Fitness Exercises and Home Exercise Fitness Mat - Non-Slip Yoga Gym Mat With Carrying Bag - 183*66cm (Green/Black) ",RIGID FITNESS,4.3,17,N,109.75,130.25,Y,53,https://www.noon.com/uae-en/thick-yoga-mat-8mm-knees-supportive-exercise-mat-for-yoga-pilates-fitness-exercises-and-home-exercise-fitness-mat-non-slip-yoga-gym-mat-with-carrying-bag-183-66cm-green-black/Z3ECE31D6665E7DFAC159Z/p/?o=z3ece31d6665e7dfac159z-1
2024-11-17 03:11:04,ZD9009A36D21843256005Z,Adidas Fitness Mat - 7Mm - Green ,Adidas,,,N,84.45,155,Y,67,https://www.noon.com/uae-en/fitness-mat-7mm-green/ZD9009A36D21843256005Z/p/?o=zd9009a36d21843256005z-1
